HomeTeam|AwayTeam|RollingAvg_Home_HS|RollingAvg_Home_HST|RollingAvg_Home_HF|RollingAvg_Home_HC|RollingAvg_Away_AS|RollingAvg_Away_AST|RollingAvg_Away_AF|RollingAvg_Away_AC|HomeTeam_Form|AwayTeam_Form|B365H|B365D|B365A|FTR
Napoli|Monza|18.666666666666668|4.666666666666667|13.0|4.666666666666667|4.333333333333333|1.6666666666666667|16.0|2.0|2.0|0.6|1.36|5.0|8.5|H
Parma|Cagliari|12.0|4.25|10.5|4.25|16.0|3.0|14.5|6.5|1.0|0.4|2.1|3.6|3.4|A
Napoli|Como|16.25|5.0|11.5|4.5|12.0|3.6|10.4|3.0|2.6|1.6|1.45|4.33|7.0|H
Verona|Venezia|9.0|3.0|10.75|5.75|10.6|3.4|12.4|3.2|0.6|0.8|2.5|3.2|2.9|H
Udinese|Lecce|10.25|3.25|14.0|5.0|13.75|5.0|12.25|5.0|1.8|1.0|2.2|3.3|3.3|H
Atalanta|Genoa|14.666666666666666|6.666666666666667|12.333333333333334|4.666666666666667|9.0|1.0|14.666666666666666|3.0|0.8|0.8|1.45|4.75|6.5|H
Inter|Torino|16.5|5.0|8.5|8.25|10.25|4.25|9.75|2.75|2.0|2.0|1.3|5.0|11.0|H
Juventus|Cagliari|12.5|5.0|11.5|5.25|13.666666666666666|2.6666666666666665|13.0|5.333333333333333|1.8|0.8|1.38|5.0|8.0|D
Bologna|Parma|15.0|3.5|15.25|7.0|16.666666666666668|4.666666666666667|11.0|7.333333333333333|1.2|0.8|1.8|3.7|4.33|D
Lazio|Empoli|12.5|6.0|12.25|6.25|7.5|2.75|16.25|3.75|1.4|1.8|1.57|4.0|6.0|H
Monza|Roma|5.75|2.5|13.25|3.0|12.75|3.5|11.0|3.75|0.4|1.6|4.2|3.4|1.91|D
Fiorentina|Milan|13.25|5.25|11.5|4.0|14.75|6.25|11.75|6.25|1.2|2.0|3.1|3.6|2.2|H
Como|Parma|16.333333333333332|6.0|13.666666666666666|6.666666666666667|14.75|4.25|10.75|6.5|1.4|0.4|1.95|3.6|3.8|D
Genoa|Bologna|11.6|4.2|12.0|2.8|12.5|5.25|14.25|4.25|0.2|1.4|3.75|3.1|2.15|D
Milan|Udinese|14.25|6.25|7.5|6.75|11.0|3.0|14.0|4.0|2.0|1.8|1.38|4.75|8.5|H
